scope,name,split,success,total,success_rate
task,place_object_basket,light,3.0,3.0,1.0
task,place_object_scale,background,3.0,3.0,1.0
task,place_object_scale,clutter,2.0,3.0,0.6666666666666666
task,place_object_scale,easy,3.0,3.0,1.0
task,place_object_scale,hard,3.0,3.0,1.0
task,place_object_scale,height,3.0,3.0,1.0
task,place_object_scale,light,3.0,3.0,1.0
task,place_object_stand,background,3.0,3.0,1.0
task,place_object_stand,clutter,3.0,3.0,1.0
task,place_object_stand,easy,3.0,3.0,1.0
task,place_object_stand,hard,3.0,3.0,1.0
task,place_object_stand,height,3.0,3.0,1.0
task,place_object_stand,light,3.0,3.0,1.0
task,place_phone_stand,background,3.0,3.0,1.0
task,place_phone_stand,clutter,3.0,3.0,1.0
task,place_phone_stand,easy,3.0,3.0,1.0
task,place_phone_stand,hard,3.0,3.0,1.0
task,place_phone_stand,height,3.0,3.0,1.0
task,place_phone_stand,light,3.0,3.0,1.0
task,place_shoe,background,3.0,3.0,1.0
task,place_shoe,clutter,3.0,3.0,1.0
task,place_shoe,easy,3.0,3.0,1.0
task,place_shoe,hard,3.0,3.0,1.0
task,place_shoe,height,3.0,3.0,1.0
task,place_shoe,light,3.0,3.0,1.0
task,press_stapler,background,3.0,3.0,1.0
task,press_stapler,clutter,3.0,3.0,1.0
task,press_stapler,easy,2.0,3.0,0.6666666666666666
task,press_stapler,hard,3.0,3.0,1.0
task,press_stapler,height,3.0,3.0,1.0
task,press_stapler,light,3.0,3.0,1.0
task,put_bottles_dustbin,background,2.0,3.0,0.6666666666666666
task,put_bottles_dustbin,clutter,2.0,3.0,0.6666666666666666
task,put_bottles_dustbin,easy,3.0,3.0,1.0
task,put_bottles_dustbin,hard,3.0,3.0,1.0
task,put_bottles_dustbin,height,3.0,3.0,1.0
task,put_bottles_dustbin,light,3.0,3.0,1.0
task,put_object_cabinet,background,2.0,3.0,0.6666666666666666
task,put_object_cabinet,clutter,2.0,3.0,0.6666666666666666
task,put_object_cabinet,easy,2.0,3.0,0.6666666666666666
task,put_object_cabinet,hard,3.0,3.0,1.0
task,put_object_cabinet,height,2.0,3.0,0.6666666666666666
task,put_object_cabinet,light,2.0,3.0,0.6666666666666666
task,rotate_qrcode,background,3.0,3.0,1.0
task,rotate_qrcode,clutter,2.0,3.0,0.6666666666666666
task,rotate_qrcode,easy,3.0,3.0,1.0
task,rotate_qrcode,hard,3.0,3.0,1.0
task,rotate_qrcode,height,3.0,3.0,1.0
task,rotate_qrcode,light,3.0,3.0,1.0
task,scan_object,background,3.0,3.0,1.0
task,scan_object,clutter,3.0,3.0,1.0
task,scan_object,easy,2.0,3.0,0.6666666666666666
task,scan_object,hard,2.0,3.0,0.6666666666666666
task,scan_object,height,3.0,3.0,1.0
task,scan_object,light,3.0,3.0,1.0
task,shake_bottle,background,3.0,3.0,1.0
task,shake_bottle,clutter,3.0,3.0,1.0
task,shake_bottle,easy,3.0,3.0,1.0
task,shake_bottle,hard,3.0,3.0,1.0
task,shake_bottle,height,3.0,3.0,1.0
task,shake_bottle,light,3.0,3.0,1.0
task,shake_bottle_horizontally,background,3.0,3.0,1.0
task,shake_bottle_horizontally,clutter,3.0,3.0,1.0
task,shake_bottle_horizontally,easy,3.0,3.0,1.0
task,shake_bottle_horizontally,hard,3.0,3.0,1.0
task,shake_bottle_horizontally,height,3.0,3.0,1.0
task,shake_bottle_horizontally,light,3.0,3.0,1.0
task,stack_blocks_three,background,3.0,3.0,1.0
task,stack_blocks_three,clutter,3.0,3.0,1.0
task,stack_blocks_three,easy,3.0,3.0,1.0
task,stack_blocks_three,hard,3.0,3.0,1.0
task,stack_blocks_three,height,3.0,3.0,1.0
task,stack_blocks_three,light,3.0,3.0,1.0
task,stack_blocks_two,background,3.0,3.0,1.0
task,stack_blocks_two,clutter,3.0,3.0,1.0
task,stack_blocks_two,easy,3.0,3.0,1.0
task,stack_blocks_two,hard,3.0,3.0,1.0
task,stack_blocks_two,height,3.0,3.0,1.0
task,stack_blocks_two,light,3.0,3.0,1.0
task,stack_bowls_three,background,3.0,3.0,1.0
task,stack_bowls_three,clutter,2.0,3.0,0.6666666666666666
task,stack_bowls_three,easy,3.0,3.0,1.0
task,stack_bowls_three,hard,3.0,3.0,1.0
task,stack_bowls_three,height,3.0,3.0,1.0
task,stack_bowls_three,light,3.0,3.0,1.0
task,stack_bowls_two,background,3.0,3.0,1.0
task,stack_bowls_two,clutter,3.0,3.0,1.0
task,stack_bowls_two,easy,3.0,3.0,1.0
task,stack_bowls_two,hard,3.0,3.0,1.0
task,stack_bowls_two,height,3.0,3.0,1.0
task,stack_bowls_two,light,3.0,3.0,1.0
task,stamp_seal,background,3.0,3.0,1.0
task,stamp_seal,clutter,3.0,3.0,1.0
task,stamp_seal,easy,3.0,3.0,1.0
task,stamp_seal,hard,3.0,3.0,1.0
task,stamp_seal,height,3.0,3.0,1.0
task,stamp_seal,light,3.0,3.0,1.0
task,turn_switch,background,2.0,3.0,0.6666666666666666
task,turn_switch,clutter,2.0,3.0,0.6666666666666666
task,turn_switch,easy,1.0,3.0,0.3333333333333333
task,turn_switch,hard,2.0,3.0,0.6666666666666666
task,turn_switch,height,2.0,3.0,0.6666666666666666
task,turn_switch,light,1.0,3.0,0.3333333333333333
