scope,name,split,success,total,success_rate
task,place_object_scale,background,0.0,3.0,0.0
task,place_object_scale,clutter,0.0,3.0,0.0
task,place_object_scale,easy,0.0,3.0,0.0
task,place_object_scale,hard,0.0,3.0,0.0
task,place_object_scale,height,0.0,3.0,0.0
task,place_object_scale,light,0.0,3.0,0.0
task,place_object_stand,background,2.0,3.0,0.6666666666666666
task,place_object_stand,clutter,3.0,3.0,1.0
task,place_object_stand,easy,3.0,3.0,1.0
task,place_object_stand,hard,1.0,3.0,0.3333333333333333
task,place_object_stand,height,2.0,3.0,0.6666666666666666
task,place_object_stand,light,2.0,3.0,0.6666666666666666
task,place_phone_stand,background,0.0,3.0,0.0
task,place_phone_stand,clutter,1.0,3.0,0.3333333333333333
task,place_phone_stand,easy,2.0,3.0,0.6666666666666666
task,place_phone_stand,hard,0.0,3.0,0.0
task,place_phone_stand,height,1.0,3.0,0.3333333333333333
task,place_phone_stand,light,1.0,3.0,0.3333333333333333
task,place_shoe,background,1.0,3.0,0.3333333333333333
task,place_shoe,clutter,2.0,3.0,0.6666666666666666
task,place_shoe,easy,1.0,3.0,0.3333333333333333
task,place_shoe,hard,1.0,3.0,0.3333333333333333
task,place_shoe,height,1.0,3.0,0.3333333333333333
task,place_shoe,light,2.0,3.0,0.6666666666666666
task,press_stapler,background,3.0,3.0,1.0
task,press_stapler,clutter,2.0,3.0,0.6666666666666666
task,press_stapler,easy,2.0,3.0,0.6666666666666666
task,press_stapler,hard,2.0,3.0,0.6666666666666666
task,press_stapler,height,3.0,3.0,1.0
task,press_stapler,light,3.0,3.0,1.0
task,put_bottles_dustbin,background,0.0,3.0,0.0
task,put_bottles_dustbin,clutter,1.0,3.0,0.3333333333333333
task,put_bottles_dustbin,easy,0.0,3.0,0.0
task,put_bottles_dustbin,hard,0.0,3.0,0.0
task,put_bottles_dustbin,height,0.0,3.0,0.0
task,put_bottles_dustbin,light,0.0,3.0,0.0
task,put_object_cabinet,background,0.0,3.0,0.0
task,put_object_cabinet,clutter,1.0,3.0,0.3333333333333333
task,put_object_cabinet,easy,0.0,3.0,0.0
task,put_object_cabinet,hard,0.0,3.0,0.0
task,put_object_cabinet,height,0.0,3.0,0.0
task,put_object_cabinet,light,0.0,3.0,0.0
task,rotate_qrcode,background,0.0,3.0,0.0
