run_id,checkpoint,sample_id,task,episode_or_seed,domain,c2r_split,progress_bin,layer,token_group,perturbation,severity,timestep_quantile,timestep,sigma,noise_seed,transform_seed,metric_name,metric_value,action_frame
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/right_position,0.025824040174484253,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/right_rotation,0.018728939816355705,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/gripper,0.027910353615880013,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/frame,0.011431321501731873,0
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/frame,0.030833611264824867,1
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/frame,0.01286232378333807,2
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/frame,0.02166331373155117,3
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/frame,0.01987702213227749,4
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/frame,0.028553824871778488,5
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/frame,0.008810260333120823,6
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/frame,0.022240038961172104,7
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,-0.1,0.25,750.0,0.75,13788209987369430635,765584118789078213,velocity_relative_l2/frame,0.013364875689148903,8
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,0.1,0.25,750.0,0.75,13788209987369430635,9775476510567872708,velocity_relative_l2,0.024025116115808487,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,0.1,0.25,750.0,0.75,13788209987369430635,9775476510567872708,velocity_relative_l2/left_position,0.030823998153209686,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,0.1,0.25,750.0,0.75,13788209987369430635,9775476510567872708,velocity_relative_l2/left_rotation,0.014674253761768341,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,0.1,0.25,750.0,0.75,13788209987369430635,9775476510567872708,velocity_relative_l2/right_position,0.026603801175951958,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,0.1,0.25,750.0,0.75,13788209987369430635,9775476510567872708,velocity_relative_l2/right_rotation,0.023968344554305077,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,0.1,0.25,750.0,0.75,13788209987369430635,9775476510567872708,velocity_relative_l2/gripper,0.02216385304927826,
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,0.1,0.25,750.0,0.75,13788209987369430635,9775476510567872708,velocity_relative_l2/frame,0.006563456729054451,0
stage0_001,base,clean/adjust_bottle/episode_000044/0_139,adjust_bottle,episode_000044,clean,,,,action_velocity,color_temperature,0.1,0.25,750.0,0.75,13788209987369430635,9775476510567872708,velocity_relative_l2/frame,0.054733794182538986,1
